decision_date,positions,turnover,n_pos,ret_excess,ret_excess_net
2016-05-20,8,0.25,8,0.005366892981514687,0.004866892981514687
2016-05-27,8,0.5,8,0.010365940622840047,0.009865940622840047
2016-06-03,8,0.25,8,0.009547111035852929,0.009047111035852928
2016-06-10,8,0.25,8,0.00748005058981821,0.00698005058981821
2016-06-17,8,0.25,8,0.004688003156258197,0.0041880031562581965
2016-06-24,8,0.25,8,0.008722691096879093,0.008222691096879092
2016-07-01,8,0.5,8,0.008917420599146159,0.008417420599146158
2016-07-08,8,0.25,8,0.010585993421953571,0.01008599342195357
2016-07-15,8,0.25,8,0.012968152960830398,0.012468152960830398
2016-07-22,8,0.25,8,0.01254023416183167,0.01204023416183167
2016-07-29,8,0.5,8,0.004316869203158102,0.003816869203158102
2016-08-05,8,0.5,8,0.02874391980229364,0.02824391980229364
2016-08-12,8,0.5,8,0.01796341037823572,0.01746341037823572
2016-08-19,8,0.25,8,0.0038054867487165717,0.0033054867487165712
2016-08-26,8,0.5,8,0.005155122071326193,0.004655122071326193
2016-09-02,8,0.75,8,0.015520982832173569,0.015020982832173568
2016-09-09,8,1.0,8,-0.005122648011916614,-0.0056226480119166145
2016-09-16,8,0.75,8,0.0013740390820192044,0.000874039082019204
2016-09-23,8,0.25,8,0.015810251145991466,0.015310251145991466
2016-09-30,8,0.0,8,0.001857958758163955,0.0013579587581639546
2016-10-07,8,0.5,8,-0.00027555730412807955,-0.00077555730412808
2016-10-14,8,0.25,8,-0.006437198090047544,-0.006937198090047544
2016-10-21,8,0.5,8,-0.012141318816226904,-0.012641318816226904
2016-10-28,8,0.25,8,-0.004098720728688401,-0.004598720728688402
2016-11-04,8,0.75,8,-0.007350281062611902,-0.007850281062611902
2016-11-11,4,1.0,4,-0.007366305244073723,-0.008366305244073724
2016-11-18,8,0.6666666666666666,8,-0.0003226546170108091,-0.0008226546170108096
2016-11-25,8,0.5,8,-0.005626896558453054,-0.006126896558453054
2016-12-02,8,0.25,8,-0.008994463653842238,-0.009494463653842239
2016-12-09,8,0.5,8,-0.006440239759172212,-0.006940239759172212
2016-12-16,6,0.5714285714285714,6,-0.012375143325808174,-0.01304180999247484
2016-12-23,8,0.2857142857142857,8,-0.014117823803654839,-0.014617823803654839
2016-12-30,8,0.25,8,0.0050706885737074325,0.004570688573707432
2017-01-06,8,0.25,8,0.003753705674743313,0.0032537056747433124
2017-01-13,8,0.5,8,0.0041924860903376215,0.003692486090337621
2017-01-20,8,0.5,8,0.009514633617387136,0.009014633617387136
2017-01-27,8,0.5,8,0.006300537682291302,0.005800537682291301
2017-02-03,8,0.25,8,0.012416684538158446,0.011916684538158445
2017-02-10,8,0.5,8,0.001801170629175397,0.0013011706291753966
2017-02-17,8,1.0,8,-0.006432446601198766,-0.006932446601198766
2017-03-03,8,0.75,8,0.004847424830935199,0.004347424830935198
2017-03-10,8,0.75,8,0.009796551571420758,0.009296551571420758
2017-03-17,8,0.25,8,0.016428604183466367,0.015928604183466366
2017-03-24,8,0.25,8,-0.0003495002961233229,-0.0008495002961233233
2017-03-31,8,0.25,8,-0.000653414973155575,-0.0011534149731555754
2017-04-07,8,0.25,8,-0.0028102503738874907,-0.003310250373887491
2017-04-21,8,0.75,8,-0.0009606263668004988,-0.0014606263668004993
2017-04-28,8,0.5,8,-0.0019903123761539077,-0.002490312376153908
2017-05-05,8,0.25,8,-0.008585596003089363,-0.009085596003089363
2017-05-12,8,0.25,8,-0.013615068358001553,-0.014115068358001553
2017-05-19,8,0.5,8,-0.00939997921481392,-0.00989997921481392
2017-05-26,8,0.75,8,0.003842209522068457,0.0033422095220684567
2017-06-02,8,0.5,8,-0.0050803813987605195,-0.00558038139876052
2017-06-09,8,0.5,8,0.01504584284721358,0.01454584284721358
2017-06-16,8,0.5,8,0.011260786937361739,0.010760786937361738
2017-06-23,8,0.0,8,-0.010474207190696416,-0.010974207190696417
2017-06-30,8,0.5,8,0.0071902962046174745,0.006690296204617474
2017-07-07,8,0.5,8,0.010561787678373458,0.010061787678373457
2017-07-14,8,0.5,8,0.007631506557265216,0.007131506557265216
2017-07-21,8,0.25,8,0.006549437322344448,0.0060494373223444475
2017-07-28,8,0.25,8,0.007948863554942509,0.007448863554942509
2017-08-04,8,0.5,8,-0.0026061266097058833,-0.0031061266097058837
2017-08-11,8,0.75,8,-0.007690094976046613,-0.008190094976046614
2017-08-18,8,0.75,8,0.00036340242557944546,-0.00013659757442055498
2017-09-01,8,0.75,8,-0.002896554699108378,-0.0033965546991083784
2017-09-08,8,0.5,8,0.001351829775045582,0.0008518297750455817
2017-09-15,8,0.5,8,0.00039877665647661265,-0.0001012233435233878
2017-09-22,8,0.5,8,-0.00030591187423381627,-0.0008059118742338167
2017-09-29,8,0.25,8,-0.01867002096250045,-0.01917002096250045
2017-10-06,8,0.0,8,-0.0027686494991210897,-0.00326864949912109
2017-10-13,8,0.5,8,0.00214188321544706,0.0016418832154470597
2017-10-27,8,0.5,8,-0.015765446611185757,-0.016265446611185758
2017-11-03,8,0.25,8,-0.03367899183150164,-0.03417899183150164
2017-11-10,8,0.25,8,-0.013693878900710554,-0.014193878900710555
2017-11-17,5,0.46153846153846156,5,-0.014940031329660198,-0.015740031329660197
2017-11-24,8,0.46153846153846156,8,0.0020492676994469244,0.001549267699446924
2017-12-01,4,0.6666666666666666,4,-0.015146814739681685,-0.016146814739681686
2017-12-08,8,0.6666666666666666,8,-0.006848426017961234,-0.007348426017961235
2017-12-15,8,0.25,8,-0.012163063047913883,-0.012663063047913883
2017-12-22,8,0.75,8,0.018714649276762182,0.018214649276762182
2017-12-29,8,0.5,8,0.008255390351707637,0.007755390351707636
2018-01-05,8,0.5,8,0.002405049460600092,0.0019050494606000917
