decision_date,n_pos,ret_excess,ret_excess_net,turnover,hits,equity
2016-07-01,8,0.008917420599146159,0.008417420599146158,0.5,6,1.2446216344259255
2016-07-08,8,0.010585993421953571,0.01008599342195357,0.25,6,1.2571748800435665
2016-07-15,8,0.012968152960830398,0.012468152960830398,0.25,6,1.2728495287464632
2016-07-22,8,0.01254023416183167,0.01204023416183167,0.25,6,1.2881749351253478
2016-07-29,8,0.004316869203158102,0.003816869203158102,0.5,4,1.2930917303635079
2016-08-05,8,0.02874391980229364,0.02824391980229364,0.5,8,1.329613709492904
2016-08-12,8,0.01796341037823572,0.01746341037823572,0.5,6,1.3528332993463066
2016-08-19,8,0.0038054867487165717,0.0033054867487165712,0.25,6,1.3573050718905182
2016-08-26,8,0.005155122071326193,0.004655122071326193,0.5,5,1.3636234926881987
2016-09-02,8,0.015520982832173569,0.015020982832173568,0.75,6,1.3841064577614168
2016-09-09,8,-0.005122648011916614,-0.0056226480119166145,1.0,2,1.3763241143384037
2016-09-16,8,0.0013740390820192044,0.000874039082019204,0.75,5,1.3775270754038609
2016-09-23,8,0.015810251145991466,0.015310251145991466,0.25,6,1.3986173608886971
2016-09-30,8,0.001857958758163955,0.0013579587581639546,0.0,4,1.4005166255832362
2016-10-07,8,-0.00027555730412807955,-0.00077555730412808,0.5,3,1.3994304446847123
2016-10-14,8,-0.006437198090047544,-0.006937198090047544,0.25,2,1.3897223184766911
2016-10-21,8,-0.012141318816226904,-0.012641318816226904,0.5,1,1.3721543955828013
2016-10-28,8,-0.004098720728688401,-0.004598720728688402,0.25,1,1.3658442407208737
2016-11-04,8,-0.007350281062611902,-0.007850281062611902,0.75,2,1.3551219795434652
2016-11-11,4,-0.007366305244073723,-0.008366305244073724,1.0,1,1.3437846154196513
2016-11-18,8,-0.0003226546170108091,-0.0008226546170108096,0.6666666666666666,6,1.3426791448015083
2016-11-25,8,-0.005626896558453054,-0.006126896558453054,0.5,3,1.3344526885701171
2016-12-02,8,-0.008994463653842238,-0.009494463653842239,0.25,1,1.3217827760207161
2016-12-09,8,-0.006440239759172212,-0.006940239759172212,0.5,2,1.312609286645588
2016-12-16,6,-0.012375143325808174,-0.01304180999247484,0.5714285714285714,0,1.2954904857347984
2016-12-23,8,-0.014117823803654839,-0.014617823803654839,0.2857142857142857,0,1.2765532340750159
2016-12-30,8,0.0050706885737074325,0.004570688573707432,0.25,4,1.2823879613557316
2017-01-06,8,0.003753705674743313,0.0032537056747433124,0.25,5,1.2865604743428172
2017-01-13,8,0.0041924860903376215,0.003692486090337621,0.5,4,1.291311080998706
2017-01-20,8,0.009514633617387136,0.009014633617387136,0.5,5,1.3029517772799815
2017-01-27,8,0.006300537682291302,0.005800537682291301,0.5,5,1.3105095981623025
2017-02-03,8,0.012416684538158446,0.011916684538158445,0.25,5,1.3261265276278313
2017-02-10,8,0.001801170629175397,0.0013011706291753966,0.5,3,1.327852044516151
2017-02-17,8,-0.006432446601198766,-0.006932446601198766,1.0,2,1.3186467811232503
2017-03-03,8,0.004847424830935199,0.004347424830935198,0.75,6,1.3243794988827382
2017-03-10,8,0.009796551571420758,0.009296551571420758,0.75,5,1.3366916611942339
2017-03-17,8,0.016428604183466367,0.015928604183466366,0.25,6,1.357983293580737
2017-03-24,8,-0.0003495002961233229,-0.0008495002961233233,0.25,5,1.3568296863707097
2017-03-31,8,-0.000653414973155575,-0.0011534149731555754,0.25,4,1.3552646986944277
2017-04-07,8,-0.0028102503738874907,-0.003310250373887491,0.25,2,1.350778433218858
2017-04-21,8,-0.0009606263668004988,-0.0014606263668004993,0.75,3,1.3488054506235931
2017-04-28,8,-0.0019903123761539077,-0.002490312376153908,0.5,3,1.3454465037168812
2017-05-05,8,-0.008585596003089363,-0.009085596003089363,0.25,2,1.3332223203403406
2017-05-12,8,-0.013615068358001553,-0.014115068358001553,0.25,1,1.3144037961523232
2017-05-19,8,-0.00939997921481392,-0.00989997921481392,0.5,0,1.3013912258905427
2017-05-26,8,0.003842209522068457,0.0033422095220684567,0.75,5,1.3057407480376506
2017-06-02,8,-0.0050803813987605195,-0.00558038139876052,0.5,2,1.2984542166556976
2017-06-09,8,0.01504584284721358,0.01454584284721358,0.5,7,1.3173413276354733
2017-06-16,8,0.011260786937361739,0.010760786937361738,0.5,7,1.33151695698594
2017-06-23,8,-0.010474207190696416,-0.010974207190696417,0.0,2,1.3169046140220506
2017-06-30,8,0.0071902962046174745,0.006690296204617474,0.5,6,1.3257150959630857
2017-07-07,8,0.010561787678373458,0.010061787678373457,0.5,6,1.3390541597806809
2017-07-14,8,0.007631506557265216,0.007131506557265216,0.5,6,1.3486036333016902
2017-07-21,8,0.006549437322344448,0.0060494373223444475,0.25,5,1.356761926454035
2017-07-28,8,0.007948863554942509,0.007448863554942509,0.25,5,1.366868260920732
2017-08-04,8,-0.0026061266097058833,-0.0031061266097058837,0.5,3,1.3626225950435238
2017-08-11,8,-0.007690094976046613,-0.008190094976046614,0.75,3,1.3514625865736103
2017-08-18,8,0.00036340242557944546,-0.00013659757442055498,0.75,4,1.3512779800623642
2017-09-01,8,-0.002896554699108378,-0.0033965546991083784,0.75,4,1.3466882904893818
2017-09-08,8,0.001351829775045582,0.0008518297750455817,0.5,4,1.3478354396729257
2017-09-15,8,0.00039877665647661265,-0.0001012233435233878,0.5,4,1.3476990072632027
2017-09-22,8,-0.00030591187423381627,-0.0008059118742338167,0.5,3,1.3466128806303561
2017-09-29,8,-0.01867002096250045,-0.01917002096250045,0.25,1,1.3207982834802992
2017-10-06,8,-0.0027686494991210897,-0.00326864949912109,0.0,4,1.3164810568325613
2017-10-13,8,0.00214188321544706,0.0016418832154470597,0.5,5,1.3186425649832287
2017-10-27,8,-0.015765446611185757,-0.016265446611185758,0.5,2,1.297194254743257
2017-11-03,8,-0.03367899183150164,-0.03417899183150164,0.25,1,1.2528574629065163
2017-11-10,8,-0.013693878900710554,-0.014193878900710555,0.25,1,1.2350745557981697
2017-11-17,5,-0.014940031329660198,-0.015740031329660197,0.46153846153846156,2,1.2156344435954405
2017-11-24,8,0.0020492676994469244,0.001549267699446924,0.46153846153846156,6,1.2175177867732379
