date,fund_id,y_true,xgb,fold
2021-12-07,LIC_LargeCap,0,0.25179994,4
2021-12-08,LIC_LargeCap,0,0.29116154,4
2021-12-09,LIC_LargeCap,0,0.38231078,4
2021-12-10,LIC_LargeCap,0,0.27209994,4
2021-12-13,LIC_LargeCap,0,0.22307959,4
2021-12-14,LIC_LargeCap,0,0.2697348,4
2021-12-15,LIC_LargeCap,0,0.17577651,4
2021-12-16,LIC_LargeCap,0,0.25607434,4
2021-12-17,LIC_LargeCap,0,0.12869415,4
2021-12-20,LIC_LargeCap,0,0.09714238,4
2021-12-21,LIC_LargeCap,0,0.14876221,4
2021-12-22,LIC_LargeCap,0,0.22860551,4
2021-12-23,LIC_LargeCap,0,0.1776556,4
2021-12-24,LIC_LargeCap,0,0.13526683,4
2021-12-27,LIC_LargeCap,0,0.10486664,4
2021-12-28,LIC_LargeCap,0,0.12734894,4
2021-12-29,LIC_LargeCap,0,0.17077368,4
2021-12-30,LIC_LargeCap,0,0.19642542,4
2021-12-31,LIC_LargeCap,0,0.21923578,4
2022-01-03,LIC_LargeCap,0,0.30054334,4
2022-01-04,LIC_LargeCap,0,0.29722908,4
2022-01-05,LIC_LargeCap,0,0.350505,4
2022-01-06,LIC_LargeCap,0,0.31935975,4
2022-01-07,LIC_LargeCap,0,0.25397992,4
2022-01-10,LIC_LargeCap,0,0.23824745,4
2022-01-11,LIC_LargeCap,0,0.305811,4
2022-01-12,LIC_LargeCap,0,0.22464608,4
2022-01-13,LIC_LargeCap,0,0.23368602,4
2022-01-14,LIC_LargeCap,0,0.24068506,4
2022-01-17,LIC_LargeCap,0,0.2175277,4
2022-01-18,LIC_LargeCap,0,0.28015095,4
2022-01-19,LIC_LargeCap,0,0.25603822,4
2022-01-20,LIC_LargeCap,0,0.22067247,4
2022-01-21,LIC_LargeCap,0,0.1195699,4
2022-01-24,LIC_LargeCap,0,0.122149415,4
2022-01-25,LIC_LargeCap,0,0.12916993,4
2022-01-27,LIC_LargeCap,0,0.10087579,4
2022-01-28,LIC_LargeCap,0,0.11334016,4
2022-01-31,LIC_LargeCap,0,0.14055203,4
2022-02-01,LIC_LargeCap,0,0.14749403,4
2022-02-02,LIC_LargeCap,0,0.13477804,4
2022-02-03,LIC_LargeCap,0,0.09816608,4
2022-02-04,LIC_LargeCap,0,0.102909714,4
2022-02-07,LIC_LargeCap,0,0.07628594,4
2022-02-08,LIC_LargeCap,0,0.077481896,4
2022-02-09,LIC_LargeCap,0,0.093001485,4
2022-02-10,LIC_LargeCap,0,0.10916315,4
2022-02-11,LIC_LargeCap,0,0.104203515,4
2022-02-14,LIC_LargeCap,0,0.12846547,4
2022-02-15,LIC_LargeCap,0,0.11166401,4
2022-02-16,LIC_LargeCap,0,0.1628559,4
2022-02-17,LIC_LargeCap,0,0.19415191,4
2022-02-18,LIC_LargeCap,0,0.21082382,4
2022-02-21,LIC_LargeCap,0,0.26135218,4
2022-02-22,LIC_LargeCap,0,0.21047956,4
2022-02-23,LIC_LargeCap,0,0.23019202,4
2022-02-24,LIC_LargeCap,0,0.4341153,4
2022-02-25,LIC_LargeCap,0,0.7008428,4
2022-02-28,LIC_LargeCap,0,0.70341325,4
2022-03-02,LIC_LargeCap,0,0.67878044,4
2022-03-03,LIC_LargeCap,0,0.63698757,4
2022-03-04,LIC_LargeCap,0,0.5615073,4
2022-03-07,LIC_LargeCap,0,0.6555425,4
2022-03-08,LIC_LargeCap,0,0.6601947,4
2022-03-09,LIC_LargeCap,0,0.7504592,4
2022-03-10,LIC_LargeCap,0,0.7550721,4
2022-03-11,LIC_LargeCap,0,0.80452085,4
2022-03-14,LIC_LargeCap,0,0.79586214,4
2022-03-15,LIC_LargeCap,0,0.7283944,4
2022-03-16,LIC_LargeCap,0,0.8766147,4
2022-03-17,LIC_LargeCap,0,0.81954783,4
2022-03-21,LIC_LargeCap,0,0.8922889,4
2022-03-22,LIC_LargeCap,0,0.8876691,4
2022-03-23,LIC_LargeCap,0,0.910555,4
2022-03-24,LIC_LargeCap,0,0.9224701,4
2022-03-25,LIC_LargeCap,0,0.93670005,4
2022-03-28,LIC_LargeCap,0,0.9299236,4
2022-03-29,LIC_LargeCap,0,0.90550154,4
2022-03-30,LIC_LargeCap,0,0.9140534,4
2022-03-31,LIC_LargeCap,0,0.89793575,4
2022-04-01,LIC_LargeCap,0,0.8882072,4
2022-04-04,LIC_LargeCap,0,0.86821586,4
2022-04-05,LIC_LargeCap,0,0.92948586,4
2022-04-06,LIC_LargeCap,0,0.9520751,4
2022-04-07,LIC_LargeCap,0,0.9492759,4
2022-04-08,LIC_LargeCap,0,0.96179724,4
2022-04-11,LIC_LargeCap,0,0.9561716,4
2022-04-12,LIC_LargeCap,0,0.9433817,4
