date,usd_inr
2016-10-03,66.54650116
2016-10-04,66.38030243
2016-10-05,66.57800293
2016-10-06,66.5632019
2016-10-07,66.68710327
2016-10-10,66.59120178
2016-10-11,66.48509979
2016-10-12,66.79850006
2016-10-13,66.81809998
2016-10-14,66.78399658
2016-10-17,66.70529938
2016-10-18,66.78359985
2016-10-19,66.73799896
2016-10-20,66.63639832
2016-10-21,66.84130096
2016-10-24,66.91120148
2016-10-25,66.83399963
2016-10-26,66.78130341
2016-10-27,66.86399841
2016-10-28,66.90299988
2016-10-31,66.78140259
2016-11-01,66.66549683
2016-11-02,66.67849731
2016-11-03,66.77749634
2016-11-04,66.68450165
2016-11-07,66.78530121
2016-11-08,66.73500061
2016-11-09,66.22949982
2016-11-10,66.50749969
2016-11-11,67.21450043
2016-11-14,67.54679871
2016-11-15,67.77549744
2016-11-16,67.7480011
2016-11-17,67.98149872
2016-11-18,67.97480011
2016-11-21,68.16999817
2016-11-22,68.21549988
2016-11-23,68.38549805
2016-11-24,68.79850006
2016-11-25,68.74549866
2016-11-28,68.50849915
2016-11-29,68.55549622
2016-11-30,68.60800171
2016-12-01,68.58799744
2016-12-02,68.21649933
2016-12-05,68.0114975
2016-12-06,68.01249695
2016-12-07,67.72200012
2016-12-08,67.4315033
2016-12-09,67.40599823
2016-12-12,67.46050262
2016-12-13,67.41799927
2016-12-14,67.3864975
2016-12-15,67.81999969
2016-12-16,67.84500122
2016-12-19,67.83499908
2016-12-20,67.84020233
2016-12-21,67.89700317
2016-12-22,67.82550049
2016-12-23,67.83799744
2016-12-26,67.83080292
2016-12-27,67.77200317
2016-12-28,67.96800232
2016-12-29,68.20500183
2016-12-30,67.93299866
2017-01-02,67.94480133
2017-01-03,68.1339035
2017-01-04,68.26979828
2017-01-05,67.88549805
2017-01-06,67.73300171
2017-01-09,68.14260101
2017-01-10,68.09700012
2017-01-11,68.31800079
2017-01-12,68.13999939
2017-01-13,68.12950134
2017-01-16,68.15779877
2017-01-17,68.09459686
2017-01-18,67.89949799
2017-01-19,68.19799805
2017-01-20,68.09030151
2017-01-23,68.07720184
2017-01-24,68.05139923
2017-01-25,68.16449738
2017-01-26,67.97299957
2017-01-27,68.14900208
2017-01-30,68.11000061
2017-01-31,67.82099915
2017-02-01,67.50160217
2017-02-02,67.395401
2017-02-03,67.26560211
2017-02-06,67.15730286
2017-02-07,67.19529724
2017-02-08,67.34049988
2017-02-09,66.96430206
2017-02-10,66.74530029
2017-02-13,66.84369659
2017-02-14,66.91539764
2017-02-15,66.77590179
2017-02-16,66.8655014
2017-02-17,67.16480255
2017-02-20,67.06520081
2017-02-21,66.96499634
2017-02-22,66.96510315
2017-02-23,66.91429901
2017-02-24,66.68280029
2017-02-27,66.63500214
2017-02-28,66.69319916
2017-03-01,66.70510101
2017-03-02,66.85800171
2017-03-03,66.8451004
2017-03-06,66.77300262
2017-03-07,66.66470337
2017-03-08,66.61620331
2017-03-09,66.76499939
2017-03-10,66.68049622
2017-03-13,66.48500061
2017-03-14,66.17009735
2017-03-15,65.77510071
2017-03-16,65.62049866
2017-03-17,65.40450287
