date,nav
2017-01-10,167.7810
2017-01-11,170.3920
2017-01-12,170.7130
2017-01-13,170.3830
2017-01-16,170.9030
2017-01-17,170.3990
2017-01-18,171.1720
2017-01-19,171.8680
2017-01-20,169.6600
2017-01-23,171.0440
2017-01-24,172.7090
2017-01-25,175.3300
2017-01-27,176.0520
2017-01-30,175.7740
2017-01-31,174.0590
2017-02-01,178.7510
2017-02-02,179.4780
2017-02-03,179.7520
2017-02-06,180.9820
2017-02-07,180.3550
2017-02-08,180.5450
2017-02-09,180.3180
2017-02-10,180.1530
2017-02-13,179.6590
2017-02-14,178.1910
2017-02-15,175.5160
2017-02-16,177.4860
2017-02-17,178.7470
2017-02-20,180.0940
2017-02-21,180.5620
2017-02-22,179.7380
2017-02-23,179.9280
2017-02-27,178.6210
2017-02-28,178.2230
2017-03-01,178.5710
2017-03-02,177.0480
2017-03-03,177.0230
2017-03-06,178.1370
2017-03-07,177.7420
2017-03-08,177.3570
2017-03-09,177.6400
2017-03-10,177.3900
2017-03-14,180.5560
2017-03-15,181.0030
2017-03-16,182.9090
2017-03-17,182.7860
2017-03-20,182.6020
2017-03-21,181.6600
2017-03-22,179.6970
2017-03-23,180.9940
2017-03-24,181.9380
2017-03-27,181.2480
2017-03-28,182.2270
2017-03-29,182.6280
2017-03-30,183.5230
2017-03-31,183.7590
2017-04-03,184.2810
2017-04-05,185.6160
2017-04-06,185.3170
2017-04-07,184.7170
2017-04-10,185.5350
2017-04-11,187.0220
2017-04-12,186.9040
2017-04-13,185.8100
2017-04-17,185.1400
2017-04-18,184.2550
2017-04-19,184.0940
2017-04-20,184.5880
2017-04-21,184.3530
2017-04-24,186.4130
2017-04-25,188.3440
2017-04-26,189.0130
2017-04-27,188.9330
2017-04-28,188.7210
2017-05-02,188.8150
2017-05-03,188.5370
2017-05-04,189.4450
2017-05-05,187.4020
2017-05-08,188.1850
2017-05-09,188.5160
2017-05-10,189.7170
2017-05-11,190.6990
2017-05-12,190.0850
2017-05-15,191.3920
2017-05-16,192.7790
2017-05-17,192.1850
2017-05-18,189.7070
2017-05-19,189.1930
2017-05-22,187.7710
2017-05-23,187.0930
2017-05-24,186.2080
2017-05-25,189.8090
2017-05-26,192.9920
2017-05-29,191.4720
2017-05-30,192.0150
2017-05-31,192.4330
2017-06-01,192.0260
2017-06-02,192.7780
2017-06-05,193.1960
2017-06-06,191.8290
2017-06-07,192.6940
2017-06-08,192.6510
2017-06-09,193.6760
2017-06-12,191.9610
2017-06-13,191.7460
2017-06-14,191.6400
2017-06-15,190.7560
