date,nav
2018-07-10,175.3000
2018-07-11,175.1400
2018-07-12,176.2800
2018-07-13,176.3200
2018-07-16,174.7300
2018-07-17,175.4800
2018-07-18,175.0400
2018-07-19,174.4800
2018-07-20,175.6600
2018-07-23,177.1300
2018-07-24,177.8300
2018-07-25,178.0200
2018-07-26,177.8600
2018-07-27,179.2700
2018-07-30,179.4400
2018-07-31,180.6400
2018-08-01,180.4400
2018-08-02,178.6400
2018-08-03,180.4000
2018-08-06,180.4300
2018-08-07,180.4900
2018-08-08,180.9700
2018-08-09,181.1100
2018-08-10,180.6100
2018-08-13,179.7100
2018-08-14,181.4700
2018-08-16,180.6200
2018-08-17,182.1500
2018-08-20,183.0500
2018-08-21,183.1400
2018-08-23,183.7100
2018-08-24,182.6400
2018-08-27,184.6000
2018-08-28,185.0800
2018-08-29,184.1200
2018-08-30,183.6100
2018-08-31,183.2400
2018-09-03,181.5000
2018-09-04,181.0000
2018-09-05,179.8900
2018-09-06,180.8300
2018-09-07,181.4200
2018-09-10,179.3800
2018-09-11,176.9100
2018-09-12,178.1800
2018-09-14,179.1400
2018-09-17,177.2400
2018-09-18,175.9000
2018-09-19,175.2200
2018-09-21,174.2300
2018-09-24,172.7700
2018-09-25,174.3600
2018-09-26,173.9800
2018-09-27,173.0700
2018-09-28,173.0600
2018-10-01,174.0400
2018-10-03,171.5700
2018-10-04,167.4600
2018-10-05,164.6100
2018-10-08,164.3300
2018-10-09,164.1100
2018-10-10,165.8000
2018-10-11,161.7600
2018-10-12,164.5900
2018-10-15,165.9700
2018-10-16,167.1300
2018-10-17,165.8000
2018-10-19,164.0100
2018-10-22,163.4200
2018-10-23,161.3100
2018-10-24,161.3300
2018-10-25,160.1600
2018-10-26,158.4900
2018-10-29,162.2600
2018-10-30,161.3300
2018-10-31,164.1900
2018-11-01,163.2000
2018-11-02,164.6200
2018-11-05,164.2900
2018-11-06,164.0600
2018-11-09,164.6800
2018-11-12,163.2800
2018-11-13,164.2500
2018-11-14,163.3700
2018-11-15,164.2000
2018-11-16,165.5000
2018-11-19,166.3900
2018-11-20,165.0600
2018-11-21,164.5800
2018-11-22,163.8000
2018-11-26,165.4500
2018-11-27,166.3200
2018-11-28,167.3200
2018-11-29,168.9300
2018-11-30,169.7200
2018-12-03,168.7500
2018-12-04,168.4700
2018-12-05,167.0100
2018-12-06,164.6400
2018-12-07,166.2600
2018-12-10,163.0100
2018-12-11,164.0200
2018-12-12,166.4700
2018-12-13,167.5600
2018-12-14,167.6900
2018-12-17,168.5400
2018-12-18,169.1400
2018-12-19,169.9200
2018-12-20,169.4700
2018-12-21,166.7400
2018-12-24,165.8000
2018-12-26,166.5500
2018-12-27,167.2900
2018-12-28,168.3600
2018-12-31,168.3700
2019-01-01,168.8600
2019-01-02,167.8500
2019-01-03,166.5300
2019-01-04,166.8800
2019-01-07,167.5400
2019-01-08,167.8800
2019-01-09,168.8800
2019-01-10,168.6500
2019-01-11,168.2700
2019-01-14,167.4400
2019-01-15,169.2000
2019-01-16,169.4200
2019-01-17,169.9400
2019-01-18,169.9600
2019-01-21,171.2300
2019-01-22,170.8100
2019-01-23,169.3000
2019-01-24,169.7700
2019-01-25,169.2400
2019-01-28,167.6500
2019-01-29,167.5100
2019-01-30,168.3100
2019-01-31,170.8000
2019-02-01,171.9300
2019-02-04,171.9900
2019-02-05,171.9200
2019-02-06,173.5000
2019-02-07,173.2200
2019-02-08,171.5500
2019-02-11,170.7700
2019-02-12,169.7000
2019-02-13,169.2500
2019-02-14,168.2100
2019-02-15,167.8400
2019-02-18,166.5500
2019-02-19,165.8900
2019-02-20,167.1500
2019-02-21,167.9800
2019-02-22,167.7000
2019-02-25,168.9500
2019-02-26,168.2400
2019-02-27,168.1000
2019-02-28,167.8600
2019-03-01,168.7500
2019-03-05,170.2400
2019-03-06,171.4300
2019-03-07,171.8900
2019-03-08,171.9000
2019-03-11,173.7700
2019-03-12,175.2600
2019-03-13,176.1300
2019-03-14,175.5800
2019-03-15,176.7700
2019-03-18,177.5300
2019-03-19,178.7000
2019-03-20,178.5600
2019-03-22,177.6800
2019-03-25,176.0100
2019-03-26,178.3900
2019-03-27,178.0600
2019-03-28,180.1100
2019-03-29,180.9800
2019-04-01,181.7700
2019-04-02,182.1400
2019-04-03,180.9200
2019-04-04,180.2800
2019-04-05,181.1300
2019-04-08,180.2500
2019-04-09,180.8200
2019-04-10,179.4400
2019-04-11,179.7100
2019-04-12,180.7300
2019-04-15,181.3100
2019-04-16,182.6200
2019-04-18,182.2300
2019-04-22,179.8300
2019-04-23,179.9100
2019-04-24,181.6400
2019-04-25,180.2600
2019-04-26,182.0800
2019-04-30,182.6700
2019-05-02,182.2100
2019-05-03,181.9000
2019-05-06,180.5200
2019-05-07,179.0700
2019-05-08,177.0700
2019-05-09,176.4300
2019-05-10,176.2600
2019-05-13,174.3600
2019-05-14,175.0300
2019-05-15,174.6800
2019-05-16,176.0100
2019-05-17,178.5200
2019-05-20,184.5300
2019-05-21,183.1300
2019-05-22,183.6500
2019-05-23,182.8300
2019-05-24,185.8000
2019-05-27,187.4700
2019-05-28,187.6900
2019-05-29,186.3300
2019-05-30,187.8600
2019-05-31,187.7600
2019-06-03,189.5200
2019-06-04,188.5800
2019-06-06,185.9200
2019-06-07,186.5700
2019-06-10,187.3900
2019-06-11,188.2400
2019-06-12,187.2700
2019-06-13,187.8700
2019-06-14,186.5300
2019-06-17,184.3700
2019-06-18,184.8800
2019-06-19,184.7900
2019-06-20,186.7500
2019-06-21,185.6500
2019-06-24,185.4800
2019-06-25,186.9700
2019-06-26,187.7200
2019-06-27,187.7300
2019-06-28,187.2600
2019-07-01,188.2700
2019-07-02,188.8400
2019-07-03,188.8800
2019-07-04,189.4200
2019-07-05,188.1000
2019-07-08,183.9000
2019-07-09,184.4300
2019-07-10,183.3700
2019-07-11,184.4300
2019-07-12,184.2000
2019-07-15,184.8300
2019-07-16,185.9500
2019-07-17,186.5600
2019-07-18,185.2600
2019-07-19,182.3700
2019-07-22,181.1200
2019-07-23,181.0700
2019-07-24,180.0900
2019-07-25,180.1400
2019-07-26,180.4400
2019-07-27,180.4400
2019-07-28,180.4300
2019-07-29,179.9000
2019-07-30,178.9500
2019-07-31,178.7600
2019-08-01,176.6600
2019-08-02,177.0500
2019-08-05,174.7500
2019-08-06,176.4200
2019-08-07,175.1500
2019-08-08,177.8700
2019-08-09,179.1900
2019-08-13,176.3600
2019-08-14,177.9700
2019-08-16,178.0700
2019-08-19,178.3500
2019-08-20,177.5800
2019-08-21,176.4400
2019-08-22,174.2400
2019-08-23,174.6800
2019-08-26,178.3300
2019-08-27,179.0800
2019-08-28,178.5700
2019-08-29,176.5600
2019-08-30,177.3500
2019-09-03,174.2700
2019-09-04,175.1800
2019-09-05,174.5100
2019-09-06,175.7100
2019-09-09,176.5800
2019-09-11,176.7900
2019-09-12,176.1500
2019-09-13,177.5800
2019-09-16,176.3700
2019-09-17,173.4300
2019-09-18,173.9900
2019-09-19,171.8300
2019-09-20,180.2000
2019-09-23,185.0000
2019-09-24,185.0500
2019-09-25,182.9000
2019-09-26,184.4200
2019-09-27,184.4600
2019-09-30,184.3700
2019-10-01,182.7200
2019-10-03,181.8100
2019-10-04,179.7700
2019-10-07,178.8900
2019-10-09,181.6400
2019-10-10,180.5600
2019-10-11,181.6300
2019-10-14,181.7300
2019-10-15,182.9800
2019-10-16,183.6700
2019-10-17,185.6000
2019-10-18,186.6900
2019-10-22,185.2600
2019-10-23,186.1200
2019-10-24,186.3400
2019-10-25,186.7100
2019-10-29,189.6800
2019-10-30,191.1400
2019-10-31,191.5200
