date,nav
2016-06-20,172.2500
2016-06-21,172.0200
2016-06-22,171.8300
2016-06-23,173.0600
2016-06-24,169.5700
2016-06-27,170.0800
2016-06-28,170.6800
2016-06-29,172.5000
2016-06-30,174.6100
2016-07-01,176.0100
2016-07-04,176.9800
2016-07-05,176.2300
2016-07-07,175.8700
2016-07-08,175.8100
2016-07-11,178.4200
2016-07-12,179.3500
2016-07-13,178.9500
2016-07-14,179.9400
2016-07-15,179.7800
2016-07-18,179.1600
2016-07-19,179.4900
2016-07-20,180.9700
2016-07-21,180.0400
2016-07-22,180.9100
2016-07-25,182.9600
2016-07-26,182.4100
2016-07-27,183.0700
2016-07-28,184.1900
2016-07-29,184.3600
2016-08-01,184.8300
2016-08-02,184.6100
2016-08-03,182.7700
2016-08-04,183.4300
2016-08-05,186.0700
2016-08-08,187.4700
2016-08-09,186.6500
2016-08-10,184.3500
2016-08-11,184.1600
2016-08-12,185.6600
2016-08-16,185.4300
2016-08-17,185.2900
2016-08-18,186.5400
2016-08-19,186.6900
2016-08-22,185.8500
2016-08-23,185.4700
2016-08-24,186.3200
2016-08-25,185.3100
2016-08-26,185.1200
2016-08-29,185.8000
2016-08-30,188.2300
2016-08-31,189.3300
2016-09-01,189.1600
2016-09-02,189.8600
2016-09-06,192.6300
2016-09-07,192.3800
2016-09-08,193.1000
2016-09-09,191.6800
2016-09-12,188.2500
2016-09-14,188.8500
2016-09-15,189.0700
2016-09-16,189.3600
2016-09-19,189.8400
2016-09-20,189.3900
2016-09-21,189.3800
2016-09-22,191.5200
2016-09-23,190.9200
2016-09-26,189.1900
2016-09-27,189.0800
2016-09-28,189.7700
2016-09-29,185.7400
2016-09-30,187.1600
2016-10-03,190.3100
2016-10-04,190.9300
2016-10-05,190.8100
2016-10-06,190.1700
2016-10-07,190.2900
2016-10-10,190.3200
2016-10-13,187.5600
2016-10-14,188.1700
2016-10-17,186.9400
2016-10-18,189.7900
2016-10-19,189.3600
2016-10-20,190.0100
2016-10-21,190.2600
2016-10-24,190.7900
2016-10-25,190.6600
2016-10-26,189.0400
2016-10-27,188.0800
2016-10-28,189.2900
2016-11-01,189.0900
2016-11-02,186.3800
2016-11-03,185.2800
2016-11-04,183.8100
2016-11-07,185.7000
2016-11-08,186.3200
2016-11-09,183.7500
2016-11-10,186.3200
2016-11-11,181.1000
2016-11-15,175.6900
2016-11-16,176.0500
2016-11-17,175.6800
2016-11-18,175.4900
2016-11-21,172.2300
2016-11-22,173.7700
2016-11-23,174.5500
2016-11-24,172.8900
2016-11-25,175.7000
2016-11-28,175.9400
2016-11-29,176.4600
2016-11-30,178.1900
2016-12-01,177.2000
2016-12-02,174.9600
2016-12-05,175.7800
2016-12-06,175.8400
2016-12-07,175.1300
2016-12-08,177.9100
2016-12-09,178.2800
2016-12-12,176.1900
2016-12-13,176.7900
2016-12-14,176.0500
2016-12-15,175.3700
2016-12-16,175.3300
2016-12-19,174.9800
2016-12-20,174.3600
2016-12-21,174.2500
2016-12-22,172.6600
2016-12-23,172.8300
2016-12-26,170.8300
2016-12-27,173.1000
2016-12-28,173.3900
2016-12-29,175.0800
2016-12-30,176.6600
2017-01-02,176.9500
2017-01-03,177.8100
2017-01-04,177.3500
2017-01-05,179.0500
2017-01-06,178.3800
2017-01-09,178.4500
2017-01-10,179.5000
2017-01-11,181.5500
2017-01-12,182.0600
2017-01-13,181.9300
2017-01-16,182.4100
2017-01-17,182.3200
2017-01-18,183.0300
2017-01-19,183.5200
2017-01-20,181.6700
2017-01-23,182.6600
2017-01-24,184.3200
2017-01-25,187.0400
2017-01-27,187.9000
2017-01-30,187.7600
2017-01-31,185.7600
2017-02-01,189.1600
2017-02-02,190.2700
2017-02-03,190.6000
2017-02-06,191.8600
2017-02-07,191.1400
2017-02-08,191.3500
2017-02-09,191.7400
